sent num,sent count,para num,para count,word count,quote,NE count1,NE count2,circa headline,source headline,numerical count,cap count,noun count,verb count,adj count,adverb count,prep count,conj count,response,class
1,20,1,20,18,0,2,2,4,3,0,3,7,3,1,0,2,0,7,1
2,20,2,20,16,0,3,2,1,0,3,4,4,5,0,0,1,1,2,1
3,20,3,20,28,0,1,1,1,1,1,2,5,4,5,1,5,1,1,0
4,20,4,20,20,0,1,1,3,3,2,2,5,4,2,1,2,1,5,0
5,20,5,20,25,0,1,1,2,2,2,3,8,4,2,1,3,0,3,0
6,20,6,20,24,0,2,1,0,1,0,3,9,2,4,0,5,0,1,0
7,20,7,20,28,0,1,1,3,3,0,2,10,5,1,1,4,1,5,0
8,20,8,20,43,0,5,5,3,3,1,8,18,4,1,2,7,2,4,0
9,20,9,20,27,0,2,1,0,0,1,2,8,4,3,1,4,0,1,0
10,20,10,20,39,0,2,1,1,0,1,3,9,6,3,1,7,0,1,0
11,20,11,20,35,0,5,5,2,0,2,7,10,6,3,2,4,3,2,0
12,20,12,20,28,0,2,2,0,1,0,2,9,7,2,1,1,1,1,0
13,20,13,20,26,0,3,2,1,0,1,3,8,4,2,1,4,0,2,0
14,20,14,20,31,0,4,3,1,0,1,4,11,4,2,2,7,0,2,0
15,20,15,20,34,0,4,3,1,0,0,6,13,6,2,1,5,1,1,0
16,20,16,20,28,0,3,2,1,0,0,3,12,2,3,1,4,0,2,0
17,20,17,20,25,0,3,2,3,2,0,5,9,4,1,3,2,1,4,0
18,20,18,20,26,0,3,3,0,0,0,3,6,6,1,1,3,2,0,0
19,20,19,20,20,0,3,2,1,0,0,2,5,4,2,1,2,1,1,0
20,20,20,20,31,0,4,3,3,1,1,5,13,3,3,0,6,0,3,0
1,16,1,12,22,0,3,3,6,2,0,5,9,4,1,0,3,0,5,1
2,16,2,12,19,0,1,1,4,3,2,3,6,1,3,0,3,1,6,0
3,16,3,12,12,1,3,2,0,0,0,5,7,1,1,1,0,0,0,0
4,16,3,12,15,1,0,0,1,1,0,0,3,3,2,0,2,0,2,0
5,16,4,12,5,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
6,16,4,12,11,1,0,0,1,0,0,0,2,2,0,0,2,0,0,0
7,16,5,12,37,0,3,3,3,3,2,6,11,6,2,3,4,1,4,0
8,16,6,12,37,0,3,3,1,2,2,4,13,5,2,1,5,1,3,0
